title,rooms,address,price,floor,square,publication_date,link,images
"1-комнатная квартира, 30 м?, 2/5 эт.,1,""Москва, Западный, Дорогомилово, наб. Бережковская, 10 "",2 400 руб.  / день,2 из 5,30 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5882044179/,[]"
"1-комнатная квартира, 40 м?, 1/5 эт.,1,""Москва, Северный, Хорошевский, ул. Скаковая, д.4, к.2 "",2 000 руб.  / день,1 из 5,40 м?,Опубликовано 26 ноября 2020 г.,https://www.gdeetotdom.ru/obj/living/msk/5854440165/,[]"
"1-комнатная квартира, 30 м?, 5/8 эт.,1,""Москва, Центральный, Пресненский, пер. Грузинский, 16 "",2 900 руб.  / день,5 из 8,30 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900639903/,[]"
"3-комнатная квартира, 70 м?, 19/24 эт.,3,""Москва, Центральный, Арбат, ул. Новый Арбат, 26 "",4 000 руб.  / день,19 из 24,70 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901426067/,[]"
"1-комнатная квартира, 32 м?, 1/9 эт.,1,""Москва, Центральный, Пресненский, пер. Волков, 5 "",2 600 руб.  / день,1 из 9,32 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5882058165/,[]"
"1-комнатная квартира, 29 м?, 3/12 эт.,1,""Москва, Западный, Дорогомилово, наб. Бережковская, 8 "",3 100 руб.  / день,3 из 12,29 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900624707/,[]"
"2-комнатная квартира, 53 м?, 5/24 эт.,2,""Москва, Центральный, Арбат, ул. Новый Арбат, 26 "",4 000 руб.  / день,5 из 24,53 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5882043775/,[]"
"2-комнатная квартира, 48 м?, 2/12 эт.,2,""Москва, Центральный, Тверской, пер. Оружейный, 5 "",3 200 руб.  / день,2 из 12,48 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900681745/,[]"
"1-комнатная квартира, 33 м?, 2/9 эт.,1,""Москва, Центральный, Якиманка, ул. Крымский Вал, 6 "",2 700 руб.  / день,2 из 9,33 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901427771/,[]"
"2-комнатная квартира, 46 м?, 1/4 эт.,2,""Москва, Центральный, Хамовники, ул. Тимура Фрунзе, 8/5 "",3 200 руб.  / день,1 из 4,46 м?,Опубликовано 13 сентября 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5882049879/,[]"
"2-комнатная квартира, 56 м?, 15/24 эт.,2,""Москва, Центральный, Арбат, ул. Новый Арбат, 16 "",4 000 руб.  / день,15 из 24,56 м?,Опубликовано 29 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5900640107/,[]"
"1-комнатная квартира, 31 м?, 2/9 эт.,1,""Москва, Центральный, Пресненский, пер. Грузинский, 10 "",2 800 руб.  / день,2 из 9,31 м?,Опубликовано 28 августа 2019 г.,https://www.gdeetotdom.ru/obj/living/msk/5901416765/,[]"
